Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
1,0,2.7318,0,1.1087,3.8245
2,2.16,2.732,0,1.1088,3.8246
3,3.96,2.732,0,1.109,3.8245
4,6.12,2.732,0,1.1092,3.8245
5,7.92,2.7318,0,1.109,3.8243
6,10.08,2.7318,0,1.1088,3.8245
7,10.08,2.6934,0.92805374,1.1088,3.8245
8,10.08,2.6714,1.00007629,1.1088,3.8245
9,10.44,2.6564,1.00053406,1.1481,3.795
10,10.8,2.6433,1.00053406,1.1551,3.7893
11,11.16,2.6314,0.99992371,1.1643,3.7853
12,11.52,2.6198,1.00007629,1.1702,3.7772
13,12.24,2.6085,1.00038147,1.1777,3.7734
14,12.96,2.5974,0.99992371,1.1838,3.7669
15,14.04,2.5863,1.00007629,1.1892,3.7624
16,14.76,2.5753,1.00053406,1.1958,3.7575
17,15.84,2.564,0.99977112,1.202,3.7527
18,16.92,2.553,0.99977112,1.2081,3.7483
19,18,2.5422,1.00022888,1.2154,3.743
20,19.08,2.531,1.00038147,1.2221,3.7387
21,20.16,2.5203,0.99992371,1.2288,3.7341
22,21.6,2.5095,1.00022888,1.2339,3.7293
23,22.68,2.5,1.00007629,1.2401,3.7257
24,22.68,2.5382,0,1.2401,3.7257
25,23.4,2.603,0,1.1836,3.7672
26,24.48,2.6203,0,1.1731,3.7751
27,25.56,2.6284,0,1.1683,3.779
28,26.64,2.6331,0,1.1651,3.7815
29,27.36,2.6365,0,1.1634,3.7829
30,28.44,2.6389,0,1.162,3.7842
31,29.52,2.641,0,1.1608,3.7852
32,30.6,2.6427,0,1.1597,3.786
33,31.68,2.6442,0,1.1589,3.7869
34,32.4,2.6453,0,1.1586,3.7874
35,32.4,2.7231,1.65102613,1.1593,3.8057
36,32.76,2.7506,1.6501106,1.1593,3.8057
37,32.76,2.7672,1.6501106,1.1593,3.8057
38,33.12,2.7805,1.64965284,1.0859,3.8421
39,33.48,2.7929,1.6501106,1.0766,3.8493
40,34.2,2.804,1.6501106,1.0704,3.8537
41,34.92,2.8154,1.64965284,1.0634,3.8594
42,35.64,2.8266,1.6501106,1.0576,3.8642
43,36.36,2.8376,1.64965284,1.0521,3.8687
44,37.44,2.8484,1.65041578,1.0459,3.8741
45,38.16,2.8591,1.64980543,1.0395,3.8795
46,39.24,2.8702,1.64980543,1.0339,3.8843
47,40.32,2.8809,1.65026319,1.0284,3.8892
48,41.4,2.8916,1.65026319,1.022,3.8949
49,42.48,2.9026,1.64995801,1.0161,3.9003
50,43.92,2.9134,1.64995801,1.0106,3.9052
51,45,2.9242,1.64950025,1.0051,3.9099
52,46.44,2.9349,1.64995801,0.9991,3.9142
